athabasca_etm_20000913,0,0
athabasca_tm5_19840723,-720,0
athabasca_tm5_19850928,0,-480
athabasca_tm5_19860814,-720,-480
athabasca_tm5_19870918,0,-960
athabasca_tm5_19880904,-720,-960
athabasca_tm5_19890806,-1440,0
athabasca_tm5_19900724,-1440,-480
athabasca_tm5_19910727,-1440,-960
athabasca_tm5_19920713,0,-1440
athabasca_tm5_19930817,-720,-1440
athabasca_tm5_19940726,-1440,-1440
athabasca_tm5_19950924,-2160,0
athabasca_tm5_19960622,-2160,-480
athabasca_tm5_19970812,-2160,-960
athabasca_tm5_19980705,-2160,-1440
athabasca_tm5_19990615,0,-1920
athabasca_tm5_20010807,-720,-1920
athabasca_tm5_20020911,-1440,-1920
athabasca_tm5_20030930,-2160,-1920
athabasca_tm5_20040628,0,-2400
athabasca_tm5_20051005,-720,-2400
athabasca_tm5_20060821,-1440,-2400
athabasca_tm5_20070730,-2160,-2400
athabasca_tm5_20080725,-2880,0
athabasca_tm5_20090914,-2880,-480
athabasca_tm5_20101003,-2880,-960
athabasca_tm5_20110515,-2880,-1440
